movieId,rating,timestamp,userId
377,4,825638400,207367
278,5,827994687,47335
175,3,828025541,142849
175,5,828121482,210317
278,4,828193195,68735
278,4,829144081,275265
175,5,829162650,125748
175,2,829655214,219807
175,3,830171897,201159
377,5,830335394,116190
356,5,830758048,243848
175,5,831293848,116800
175,4,831565600,88748
175,4,831653466,170906
175,3,831718288,239539
278,3,831864905,222564
278,3,831991144,187954
749,3,832010630,226390
175,5,832016514,221498
175,5,832058852,203889
175,4,832163540,231399
175,5,832172307,101653
175,5,832236526,261274
175,3,832328011,169207
278,3,832358283,269137
278,5,832359853,26260
356,4,832447648,126150
278,3,832449255,251675
175,3,832541620,30070
175,4,832576968,107774
278,3,832597091,234863
175,3,832598137,174200
278,3,832661717,268096
278,3,832686182,48149
378,3,832686822,45351
377,3,832693094,88815
356,4,832701200,76150
377,5,832703923,111694
377,3,832711477,216535
377,4,832715025,275454
356,5,832748791,144888
278,3,832753864,88641
356,3,832754137,38974
356,4,832754721,222627
356,3,832761645,101981
356,5,832763992,64110
356,3,832774303,48157
377,3,832774878,73677
378,3,832794008,44638
377,4,832799925,164492
175,5,832801151,142087
356,5,832827975,246505
377,4,832841899,69017
356,3,832849008,264074
377,5,832861593,110943
278,3,832866632,260020
377,4,832881918,118322
356,3,832882102,45144
356,3,832888779,80335
356,5,832891645,25242
377,4,832902047,187790
377,3,832921940,67637
356,5,832944952,105531
356,5,832947815,100720
356,5,832956375,29498
377,4,832958881,224665
356,4,832964784,177955
378,3,832969737,3026
356,5,832973921,49643
356,5,832977088,64022
377,4,832983038,268964
356,4,832987942,249728
377,5,833012772,123502
175,3,833018640,205364
356,5,833029954,9304
278,3,833032954,10698
377,4,833033003,10698
377,5,833042928,200982
356,5,833045553,3241
377,3,833059795,235549
377,4,833060394,222037
295,4,833060769,222037
377,4,833066580,16821
356,4,833077850,224717
356,5,833090358,282753
356,5,833091741,78628
356,5,833105352,206204
377,4,833106396,96294
377,4,833117583,91430
377,4,833120728,165192
377,5,833129998,140936
356,3,833132856,8130
356,2,833139134,145852
378,4,833143494,17721
356,4,833145399,6921
356,4,833146744,142779
356,5,833146829,88379
356,5,833164112,6752
377,4,833164222,6752
377,3,833173598,88712
378,3,833174199,88712
356,5,833180359,45588
356,4,833184874,18539
378,3,833191026,241651
377,1,833195540,105746
356,5,833196686,124550
377,3,833209748,272618
356,3,833217730,123074
377,3,833218790,123074
356,5,833219170,42022
278,3,833222648,139377
278,3,833225475,170181
377,3,833228614,245943
378,4,833232117,40145
378,2,833246993,233003
356,5,833269727,230749
377,4,833272523,271613
356,4,833278220,109479
377,3,833280438,109479
377,3,833281460,87237
377,4,833281908,224361
356,3,833283518,183297
377,4,833284825,238025
356,5,833287063,45965
377,3,833374641,71165
377,4,833374712,978
356,5,833374729,157889
378,3,833375516,978
356,5,833376933,110272
356,3,833383508,94529
377,4,833383985,246178
356,4,833384296,28375
377,3,833385739,265041
377,3,833388938,29682
356,4,833395175,91773
356,5,833396605,238392
356,5,833404937,95195
377,5,833405952,146416
378,3,833409050,162413
356,5,833409148,103821
356,5,833409202,240911
356,4,833427878,104236
356,3,833435976,276147
377,3,833439796,121618
356,5,833443240,99251
377,5,833444255,95968
377,4,833450334,145561
356,3,833458574,276648
356,4,833460961,179246
377,2,833463787,103041
278,3,833466448,220247
378,3,833474868,132684
356,3,833477158,240671
378,3,833478567,244262
278,1,833482330,133710
356,3,833484429,151582
356,4,833486052,132316
356,4,833503559,260126
356,5,833530390,231946
356,5,833533471,131141
356,4,833539870,177670
377,4,833548385,94598
356,5,833549576,237077
377,3,833549835,282116
356,4,833554868,142264
356,4,833558388,111218
356,4,833562090,164109
356,5,833565798,263678
